HeadFront-x,HeadFront-y,HeadFront-z,HeadR-x,HeadR-y,HeadR-z,HeadL-x,HeadL-y,HeadL-z,LForefoot2-x,LForefoot2-y,LForefoot2-z,LForefoot5-x,LForefoot5-y,LForefoot5-z,LAnkleIn-x,LAnkleIn-y,LAnkleIn-z,LAnkleOut-x,LAnkleOut-y,LAnkleOut-z,LHeelBack-x,LHeelBack-y,LHeelBack-z,RForefoot2-x,RForefoot2-y,RForefoot2-z,RForefoot5-x,RForefoot5-y,RForefoot5-z,RAnkleOut-x,RAnkleOut-y,RAnkleOut-z,RAnkleIn-x,RAnkleIn-y,RAnkleIn-z,RHeelBack-x,RHeelBack-y,RHeelBack-z,LKneeIn-x,LKneeIn-y,LKneeIn-z,LKneeOut-x,LKneeOut-y,LKneeOut-z,LShinFrontHigh-x,LShinFrontHigh-y,LShinFrontHigh-z,LThighFrontLow-x,LThighFrontLow-y,LThighFrontLow-z,RKneeIn-x,RKneeIn-y,RKneeIn-z,RKneeOut-x,RKneeOut-y,RKneeOut-z,RShinFrontHigh-x,RShinFrontHigh-y,RShinFrontHigh-z,RThighFrontLow-x,RThighFrontLow-y,RThighFrontLow-z,SpineThoracic2-x,SpineThoracic2-y,SpineThoracic2-z,SpineThoracic12-x,SpineThoracic12-y,SpineThoracic12-z,Chest-x,Chest-y,Chest-z,RShoulderTop-x,RShoulderTop-y,RShoulderTop-z,LShoulderTop-x,LShoulderTop-y,LShoulderTop-z,WaistBack-x,WaistBack-y,WaistBack-z,LElbowOut-x,LElbowOut-y,LElbowOut-z,LElbowIn-x,LElbowIn-y,LElbowIn-z,LArm-x,LArm-y,LArm-z,RArm-x,RArm-y,RArm-z,RElbowOut-x,RElbowOut-y,RElbowOut-z,RElbowIn-x,RElbowIn-y,RElbowIn-z,LWristIn-x,LWristIn-y,LWristIn-z,LWristOut-x,LWristOut-y,LWristOut-z,LHand2-x,LHand2-y,LHand2-z,RHand2-x,RHand2-y,RHand2-z,RWristIn-x,RWristIn-y,RWristIn-z,RWristOut-x,RWristOut-y,RWristOut-z,RWaistFrontLow-x,RWaistFrontLow-y,RWaistFrontLow-z,LWaistFrontLow-x,LWaistFrontLow-y,LWaistFrontLow-z,WaistR-x,WaistR-y,WaistR-z,WaistL-x,WaistL-y,WaistL-z,LThigh2-x,LThigh2-y,LThigh2-z,RThigh2-x,RThigh2-y,RThigh2-z,Unnamed: 135,RAnkle-x,RAnkle-y,RAnkle-z,LAnkle-x,LAnkle-y,LAnkle-z,RKnee-x,RKnee-y,RKnee-z,LKnee-x,LKnee-y,LKnee-z,RWrist-x,RWrist-y,RWrist-z,LWrist-x,LWrist-y,LWrist-z,RElbow-x,RElbow-y,RElbow-z,LElbow-x,LElbow-y,LElbow-z,RForefoot-x,RForefoot-y,RForefoot-z,LForefoot-x,LForefoot-y,LForefoot-z,RTrochanterMajor-x,RTrochanterMajor-y,RTrochanterMajor-z,LTrochanterMajor-x,LTrochanterMajor-y,LTrochanterMajor-z
449.649,131.209,1832.992,343.553,43.606,1799.147,359.11,222.75,1782.0,-229.858,179.237,159.281,-248.211,234.778,184.5,-229.265,176.002,365.062,-227.15,260.302,373.772,-276.201,229.351,423.349,706.897,94.352,194.98,673.063,51.771,161.361,497.719,57.545,162.065,501.996,140.302,174.982,437.917,106.105,118.739,169.888,153.789,568.241,166.416,253.348,559.0,114.084,212.19,480.002,290.243,217.573,706.116,444.987,116.462,607.704,446.344,12.081,589.952,500.1,58.583,518.94,456.373,28.377,754.412,265.27,133.771,1596.893,183.183,150.774,1445.641,408.525,105.521,1496.209,371.34,297.421,1574.003,316.867,-67.122,1559.017,158.322,118.464,1124.9,304.578,473.706,1293.135,235.377,418.176,1259.157,230.448,432.434,1362.27,119.039,-77.12,1407.924,98.014,-191.312,1351.997,71.725,-113.593,1323.94,425.772,281.44,1350.656,441.931,271.111,1289.227,481.734,270.991,1375.566,403.798,-90.816,1340.276,335.981,-79.075,1334.314,337.597,-94.572,1268.413,358.079,-1.099,1081.404,359.415,230.452,1060.313,256.28,-31.634,1186.955,251.336,293.159,1176.537,172.034,291.974,1047.067,198.283,-37.521,1030.685,,499.85749999999996,98.92349999999999,168.5235,-228.20749999999998,218.15200000000002,369.41700000000003,445.6655,64.2715,598.828,168.152,203.5685,563.6205,336.789,-86.8235,1301.3635,433.8515,276.27549999999997,1319.9415,84.86949999999999,-152.45250000000001,1337.9685,269.97749999999996,445.94100000000003,1276.146,689.98,73.0615,178.1705,-239.0345,207.0075,171.8905,307.17949999999996,-16.3665,1134.1795,305.3755,261.8055,1118.4250000000002
451.128,129.734,1827.061,345.175,42.055,1793.228,360.335,221.148,1776.248,-234.539,182.145,173.409,-252.631,236.364,200.269,-226.248,176.939,378.991,-224.198,261.057,388.161,-271.258,229.402,439.544,697.115,95.378,185.84,662.56,52.596,153.021,487.424,58.878,154.733,491.86,141.584,167.755,427.272,107.273,111.877,182.943,154.087,559.13,178.538,254.849,550.536,123.229,214.736,473.483,298.555,218.821,701.012,443.072,115.938,605.139,445.116,13.64,585.136,496.619,59.749,513.042,457.246,29.136,752.108,266.261,131.098,1591.792,182.639,147.669,1441.604,408.709,106.339,1488.858,369.495,297.255,1568.124,319.625,-69.122,1552.448,157.845,118.094,1117.419,292.148,471.601,1289.077,223.685,415.002,1256.702,220.821,428.814,1359.891,123.817,-84.047,1397.975,106.782,-198.644,1341.849,79.231,-121.917,1312.828,421.284,282.604,1339.355,435.053,272.995,1277.111,477.897,272.588,1362.116,410.677,-91.859,1332.882,342.637,-81.577,1326.031,345.191,-97.795,1260.327,358.081,0.112,1074.97,359.717,231.756,1056.372,256.62,-31.436,1180.941,248.679,293.854,1170.91,172.118,292.116,1038.406,198.729,-36.742,1021.97,,489.642,100.231,161.244,-225.223,218.998,383.576,444.094,64.789,595.1375,180.7405,204.468,554.833,343.914,-89.686,1293.179,428.1685,277.79949999999997,1308.2330000000002,93.00649999999999,-160.28050000000002,1327.3384999999998,257.91650000000004,443.30150000000003,1272.8895,679.8375,73.987,169.4305,-243.58499999999998,209.2545,186.839,307.3505,-15.662,1127.9555,304.198,262.805,1113.641
452.581,128.393,1820.072,346.645,40.487,1786.38,361.523,219.586,1769.578,-237.157,186.562,185.861,-254.259,239.95,214.543,-220.258,177.61,390.97,-218.385,261.66,401.515,-263.518,228.588,454.152,683.434,97.184,173.29,648.409,54.374,140.764,473.63,59.377,146.484,478.118,142.262,159.054,412.07,108.101,106.446,196.848,154.804,549.308,192.322,257.124,541.53,133.149,217.689,465.749,306.971,220.729,695.053,441.82,114.269,600.805,443.728,15.312,579.209,492.565,60.762,505.145,458.872,30.128,750.527,266.811,128.899,1585.454,181.897,144.946,1436.246,408.554,107.45,1480.68,367.033,297.287,1561.255,322.545,-70.801,1545.041,158.226,118.091,1108.55,278.605,469.051,1284.449,212.235,411.826,1253.277,210.364,424.549,1356.828,129.193,-91.368,1386.75,116.528,-206.136,1330.61,87.896,-131.015,1300.312,415.26,283.506,1326.548,427.616,275.692,1263.746,473.429,274.772,1347.152,417.986,-93.02,1324.449,349.896,-84.237,1316.648,353.668,-101.441,1251.34,357.849,0.957,1068.364,359.684,232.765,1051.201,256.786,-31.404,1173.804,246.561,293.989,1164.03,172.774,291.255,1027.84,199.523,-35.931,1012.603,,475.874,100.8195,152.769,-219.32150000000001,219.63500000000002,396.2425,442.774,64.79050000000001,590.007,194.585,205.964,545.419,351.78200000000004,-92.839,1283.994,421.438,279.599,1295.147,102.212,-168.57549999999998,1315.4609999999998,245.42000000000002,440.4385,1268.863,665.9214999999999,75.779,157.027,-245.708,213.256,200.202,307.3175,-15.2235,1121.084,303.1225,263.37699999999995,1107.6154999999999
453.88,127.183,1812.228,348.101,39.073,1778.657,362.517,218.151,1762.048,-236.527,192.35,196.579,-253.289,244.491,227.414,-211.506,178.103,400.625,-210.348,262.165,413.253,-253.146,227.016,466.819,666.492,98.257,147.929,627.321,55.481,119.356,454.691,60.509,139.825,460.054,143.84,149.994,391.558,110.465,108.714,211.409,156.264,538.76,206.393,260.041,531.661,0.0,0.0,0.0,315.774,223.091,688.424,441.062,112.579,593.367,441.766,16.52,571.776,487.512,61.888,495.005,461.329,31.055,748.526,267.212,126.755,1577.92,181.084,141.022,1429.572,408.163,108.898,1471.892,363.674,297.476,1553.726,325.542,-72.124,1536.591,157.454,117.899,1098.836,264.532,466.272,1279.655,199.057,407.519,1249.867,199.269,419.899,1353.247,134.875,-99.04,1374.483,127.296,-214.483,1318.728,96.931,-140.254,1287.122,408.854,284.981,1312.642,419.918,279.234,1249.155,467.96,277.627,1331.13,425.806,-94.197,1315.222,357.74,-86.981,1306.474,362.589,-104.814,1241.298,357.766,0.982,1061.708,359.696,233.624,1044.914,256.771,-31.479,1165.776,244.878,293.662,1156.026,173.527,289.713,1015.829,200.46,-35.169,1002.96,,457.37249999999995,102.1745,144.90949999999998,-210.92700000000002,220.13400000000001,406.93899999999996,441.414,64.5495,582.5715,208.901,208.1525,535.2104999999999,360.1645,-95.8975,1273.886,414.38599999999997,282.10749999999996,1280.8985,112.1135,-177.36849999999998,1302.9250000000002,231.79449999999997,436.89549999999997,1264.761,646.9065,76.869,133.64249999999998,-244.908,218.4205,211.9965,307.2685,-15.2485,1113.7420000000002,302.28700000000003,263.643,1100.47
455.107,126.076,1803.579,349.598,37.652,1770.244,363.262,216.74,1753.86,-232.994,199.118,205.145,-248.879,250.163,238.354,-200.452,178.41,407.813,-199.606,262.222,422.706,-240.291,224.898,476.875,642.808,97.649,117.966,599.959,55.598,94.527,429.217,63.412,132.384,437.142,146.678,140.944,365.115,114.085,108.573,226.578,158.804,527.475,220.932,263.638,521.653,0.0,0.0,0.0,324.961,225.963,681.055,440.255,112.571,583.966,438.378,15.953,562.819,481.749,62.405,482.772,465.071,32.263,745.277,266.981,124.555,1569.71,180.037,137.617,1421.755,407.456,110.673,1462.576,359.561,297.711,1545.595,328.602,-73.142,1527.253,155.729,118.029,1088.468,250.181,463.491,1274.585,185.783,403.256,1245.86,187.856,414.228,1348.813,141.036,-106.945,1361.233,138.674,-222.297,1305.988,106.35,-149.406,1273.29,401.59,286.857,1297.871,410.892,283.11,1234.036,461.598,281.751,1314.576,434.083,-95.039,1305.153,365.898,-89.543,1295.528,372.244,-108.608,1230.96,357.64,0.685,1055.06,359.206,234.253,1037.324,257.241,-32.396,1156.553,243.865,293.17,1146.873,174.714,288.499,1003.042,200.956,-34.471,992.853,,433.17949999999996,105.045,136.664,-200.029,220.31599999999997,415.2595,439.3165,64.262,573.3924999999999,223.755,211.221,524.5640000000001,369.071,-99.0755,1263.2440000000001,406.241,284.98350000000005,1265.9535,122.512,-185.8515,1289.6390000000001,217.982,433.3735,1260.2224999999999,621.3834999999999,76.6235,106.2465,-240.9365,224.6405,221.7495,307.4405,-15.855500000000001,1105.8065000000001,301.5355,263.7115,1092.0985
456.101,125.056,1794.681,350.833,36.348,1761.322,363.887,215.544,1745.257,-225.838,206.364,211.642,-240.702,256.002,247.211,-187.475,178.649,412.631,-187.016,261.732,429.75,-225.612,222.549,484.33,615.523,103.331,98.67,572.196,58.766,81.67,401.043,66.489,129.844,409.774,149.879,135.782,336.437,115.256,108.565,242.597,161.727,515.817,235.684,267.786,511.645,0.0,0.0,0.0,334.167,229.295,672.805,439.195,115.146,574.11,435.282,15.444,553.047,476.233,61.773,469.32,467.906,34.09,738.765,266.219,122.379,1561.013,178.881,134.563,1412.759,407.013,112.409,1452.796,354.762,297.988,1536.945,331.653,-73.766,1517.16,153.382,118.161,1077.723,234.52,459.998,1269.069,171.949,398.664,1241.569,175.835,408.522,1344.191,147.658,-114.994,1347.089,150.357,-230.098,1292.778,117.249,-159.26,1258.657,393.501,289.196,1282.439,401.29,288.017,1218.225,454.192,286.247,1297.277,442.923,-95.817,1294.825,374.918,-92.05,1284.268,382.249,-111.601,1219.979,357.486,0.459,1048.271,358.476,234.68,1028.74,256.908,-33.084,1146.899,243.144,292.342,1136.622,175.954,287.712,989.839,200.967,-33.77,982.381,,405.4085,108.184,132.813,-187.2455,220.19050000000001,421.1905,437.2385,65.295,563.5785000000001,239.1405,214.75650000000002,513.731,378.5835,-101.8255,1252.1235000000001,397.39549999999997,288.6065,1250.3319999999999,133.803,-194.679,1275.7175,203.23450000000003,429.331,1255.319,593.8595,81.0485,90.17,-233.26999999999998,231.183,229.4265,307.197,-16.3125,1097.585,300.81,263.51099999999997,1082.681
456.936,124.198,1786.185,351.917,35.215,1752.465,364.426,214.45,1736.741,-214.38,213.931,215.991,-228.505,262.113,253.614,-172.372,178.73,415.413,-171.997,261.606,434.872,-209.34,220.152,489.126,584.902,108.613,86.019,542.227,61.823,76.162,372.297,70.036,131.645,380.42,153.172,134.28,306.744,116.962,110.858,259.501,164.853,504.399,250.632,271.578,502.106,0.0,0.0,0.0,343.639,233.082,664.291,438.336,119.417,564.621,434.155,16.656,543.563,473.843,61.563,459.976,466.801,35.253,728.1,264.962,119.945,1552.288,177.55,131.619,1403.215,406.711,114.217,1442.561,349.452,298.448,1527.743,334.732,-74.099,1506.332,150.476,118.469,1066.555,218.565,457.05,1263.44,158.012,393.716,1237.101,163.277,402.389,1339.396,155.022,-123.056,1332.209,163.496,-237.895,1279.607,128.964,-168.779,1243.793,384.678,292.272,1267.032,390.681,293.687,1202.363,445.671,291.315,1279.899,452.56,-96.67,1284.711,384.544,-94.127,1272.887,393.029,-113.95,1208.968,356.759,0.133,1041.336,357.155,234.71,1019.352,256.161,-33.432,1137.709,242.452,292.0,1125.613,177.449,287.302,976.304,200.57,-32.486,971.613,,376.35850000000005,111.604,132.9625,-172.1845,220.168,425.14250000000004,436.2455,68.0365,554.092,255.0665,218.2155,503.2525,388.7865,-104.0385,1240.9275,387.67949999999996,292.97950000000003,1234.6975,146.23000000000002,-203.337,1261.6999999999998,188.2885,425.38300000000004,1250.2705,563.5645,85.218,81.0905,-221.4425,238.022,234.8025,306.46000000000004,-16.6495,1089.5225,299.8035,263.355,1072.4825
457.276,123.558,1778.795,352.864,34.149,1744.437,364.659,213.4,1728.993,-198.504,221.182,218.004,-212.001,268.0,257.34,-155.146,178.763,416.049,-154.786,261.816,438.065,-191.789,218.0,491.137,554.379,108.857,77.483,511.907,60.509,71.758,344.459,72.147,133.422,352.496,155.499,134.35,277.29,118.664,113.958,278.134,167.795,494.876,266.258,274.761,493.904,0.0,0.0,0.0,353.448,237.635,655.977,437.522,121.341,561.408,435.965,20.094,540.023,469.892,64.858,456.0,465.592,36.764,717.688,263.452,117.639,1544.012,175.949,128.36,1393.655,406.785,116.348,1432.456,343.844,298.961,1518.305,338.062,-74.158,1495.334,146.621,118.678,1055.847,202.301,453.628,1258.367,143.664,388.83,1233.119,150.261,395.544,1334.911,162.905,-131.285,1317.125,177.675,-245.206,1266.545,141.785,-178.218,1229.133,374.944,295.973,1252.022,378.722,299.96,1187.018,436.359,296.814,1262.77,462.684,-95.959,1274.404,394.695,-95.601,1261.862,404.631,-116.136,1198.335,354.587,-0.385,1034.345,355.266,234.238,1009.606,255.773,-35.675,1129.013,240.938,292.765,1114.587,178.147,286.431,962.205,198.931,-32.113,962.231,,348.47749999999996,113.82300000000001,133.886,-154.966,220.28949999999998,427.057,436.7435,70.7175,550.7155,272.196,221.27800000000002,494.39,399.663,-105.8685,1230.0985,376.83299999999997,297.9665,1219.52,159.73000000000002,-211.712,1247.839,172.9825,421.229,1245.743,533.143,84.68299999999999,74.62049999999999,-205.2525,244.591,237.67199999999997,305.18,-18.029999999999998,1081.679,298.102,263.50149999999996,1062.0965
457.326,123.17,1772.726,353.53,33.307,1737.416,364.593,212.641,1722.391,-178.468,227.792,217.36,-191.731,273.449,258.228,-136.072,178.909,414.697,-135.926,261.43,438.266,-173.297,216.274,490.387,521.196,109.942,74.647,479.386,60.349,70.264,314.478,72.956,134.726,321.96,156.211,134.647,245.458,118.98,115.909,297.541,169.82,489.381,283.45,276.985,488.043,0.0,0.0,0.0,363.906,242.267,650.674,435.268,120.707,561.26,437.823,24.949,537.859,464.019,71.641,451.433,463.634,37.491,714.195,262.283,115.893,1536.867,174.517,124.967,1385.268,407.046,118.731,1423.233,339.01,299.112,1509.643,341.568,-73.893,1484.927,142.887,119.79,1046.886,185.388,450.056,1254.624,129.109,383.237,1230.279,137.117,388.182,1331.178,171.954,-139.212,1302.178,192.915,-251.741,1254.133,156.534,-187.314,1214.93,364.501,300.109,1238.16,365.607,306.28,1172.997,426.179,303.174,1246.521,473.474,-94.489,1265.33,405.696,-95.995,1251.667,417.109,-117.012,1188.597,352.16,-2.278,1027.57,352.941,233.769,1000.357,254.045,-35.444,1120.806,238.098,293.882,1103.91,178.636,285.621,948.172,195.809,-32.653,955.759,,318.219,114.58350000000002,134.6865,-135.999,220.1695,426.4815,436.54549999999995,72.828,549.5595000000001,290.4955,223.4025,488.712,411.40250000000003,-106.5035,1220.132,365.054,303.19449999999995,1205.5785,174.72449999999998,-219.5275,1234.5315,157.2485,416.6465,1242.4515000000001,500.29100000000005,85.1455,72.4555,-185.09949999999998,250.6205,237.794,303.1025,-18.861,1074.188,295.5195,263.82550000000003,1052.1335
457.111,122.919,1767.655,354.019,32.662,1731.328,364.234,212.117,1717.088,-154.402,233.131,214.24,-168.023,277.869,255.911,-115.836,178.96,411.187,-115.662,260.997,435.96,-154.324,214.859,486.943,487.566,110.398,72.902,446.164,60.086,68.76,283.02,72.773,135.082,290.327,156.492,134.675,213.056,118.889,116.523,317.667,170.684,486.89,302.163,278.746,484.649,0.0,0.0,0.0,375.517,246.033,651.573,432.182,118.93,558.013,434.003,27.892,533.86,453.321,78.223,447.907,460.036,35.178,711.319,261.613,114.27,1531.334,174.111,121.494,1379.723,407.094,121.29,1415.396,334.788,299.72,1502.613,345.237,-73.277,1475.419,140.881,122.015,1041.477,168.006,445.875,1253.062,114.681,377.198,1229.258,124.292,379.75,1328.538,181.569,-146.858,1288.472,209.357,-257.144,1243.169,171.8,-195.23,1202.341,353.366,304.571,1226.204,352.529,313.158,1161.363,415.383,310.099,1231.887,484.664,-91.49,1257.967,417.139,-94.995,1242.903,431.608,-117.654,1181.166,349.293,-4.889,1022.279,350.527,233.26,992.628,250.362,-34.581,1114.113,235.042,294.155,1094.193,178.312,284.082,934.841,191.558,-31.803,952.577,,286.6735,114.6325,134.8785,-115.749,219.9785,423.57349999999997,433.0925,73.411,545.9365,309.91499999999996,224.71499999999997,485.7695,424.37350000000004,-106.3245,1212.0345,352.9475,308.8645,1193.7835,190.57850000000002,-226.187,1222.755,141.3435,411.5365,1241.1599999999999,466.865,85.24199999999999,70.831,-161.21249999999998,255.5,235.0755,299.8275,-19.735000000000003,1068.196,292.7845,263.7075,1043.4105
